index,language,code
10,Python,"from django.http import Http404, HttpResponse
from django.template.context_processors import csrf
from rest_framework.authentication import TokenAuthentication
from rest_framework.parsers import JSONParser
from rest_framework.permissions import DjangoModelPermissions
from rest_framework.views import APIView
from .models import FrontendDeployment

dev = 

def application_serve(request):
    if request.is_ajax() is False:
        try:
            deployment = FrontendDeployment.objects.filter(enabled=True).latest('created_at')
        except FrontendDeployment.DoesNotExist:
            return HttpResponse(dev.format(csrf_token=csrf(request)['csrf_token']))

        return HttpResponse(deployment.content.format(csrf_token=csrf(request)['csrf_token']))
    raise Http404()

class FrontendAPI(APIView):
    authentication_classes = [TokenAuthentication, ]
    permission_classes = [DjangoModelPermissions, ]
    queryset = FrontendDeployment.objects.none()

    def post(self, request):
        FrontendDeployment.objects.create(
            content=request.data['contents'],
        )
        return HttpResponse(status=200)"
11,Python,"
import time
import pandas as pd
import dna.logging
import intuition.data.forex as forex

log = dna.logging.logger(__name__)

class Forex(object):
    
    def __init__(self, pairs, properties):
        self._wait_retry = properties.get('retry', 10)
        self.forex = forex.TrueFX(pairs=pairs)
        self.forex.connect()

    def get_data(self, sids):
        while True:
            rates = self.forex.query_rates()
            if len(rates.keys()) >= len(sids):
                log.debug('Data available for {}'.format(rates.keys()))
                break
            log.debug('Incomplete data ({}/{}), retrying in {}s'.format(
                len(rates.keys()), len(sids), self._wait_retry))
            time.sleep(self._wait_retry)
            debug_feedback = self.forex.connect()
            log.info('New Truefx connection: {}'.format(debug_feedback))

        return rates

    @property
    def mapping(self):
        return {
            'dt': (lambda x: x, 'dt'),
            
            'trade_time': (lambda x: pd.datetime.utcfromtimestamp(
                float(x[:-3])), 'timeStamp'),
            'sid': (lambda x: x, 'sid'),
            'price': (float, 'bid'),
            'ask': (float, 'ask'),
            'high': (float, 'high'),
            'low': (float, 'low'),
            'volume': (lambda x: 10000, 'bid')
        }"
12,Python,"
import models

class ModelFactory(object):
    
    @classmethod
    def create_user(cls, name, email, training_journal):
        
        user = models.User(parent=models.USER_KEY)
        user.name = name
        user.email = email
        user.training_journal = training_journal.key

        return user

    @classmethod
    def create_training_journal(cls):
        
        return models.TrainingJournal(parent=models.TRAINING_JOURNAL_KEY)

    @classmethod
    def create_workout_session(cls, started_at, ended_at, training_journal):
        
        workout_session = models.WorkoutSession(parent=models.WORKOUT_SESSION_KEY)
        workout_session.started_at = started_at
        workout_session.ended_at = ended_at
        workout_session.training_journal = training_journal.key

        return workout_session

    @classmethod
    def create_workout_set(cls, repetitions, weight, workout_session, workout):
        
        workout_set = models.WorkoutSet(parent=models.WORKOUT_SET_KEY)
        workout_set.repetitions = repetitions
        workout_set.weight = weight
        workout_set.workout_session = workout_session.key
        workout_set.workout = workout.key

        return workout_set

    @classmethod
    def create_workout(cls, muscle_group, names=[], description='', images=[]):
        
        workout = models.Workout(parent=models.WORKOUT_KEY)
        workout.names = names
        workout.muscle_group = muscle_group
        workout.description = description
        workout.images = images

        return workout"
13,Python,"
import json
from axe.http_exceptions import BadJSON

def get_request(request):
    return request

def get_query(request):
    return request.args

def get_form(request):
    return request.form

def get_body(request):
    return request.data

def get_headers(request):
    return request.headers

def get_cookies(request):
    return request.cookies

def get_method(request):
    return request.method

def get_json(headers, body):
    content_type = headers.get('Content-Type')
    if content_type != 'application/json':
        return
    data = body.decode('utf8')
    try:
        return json.loads(data)
    except ValueError:
        raise BadJSON"
14,Python,"
import pygtk
pygtk.require('2.0')
import gtk

class CheckButton:
    
    def callback(self, widget, data=None):
        print ""%s was toggled %s"" % (data, (""OFF"", ""ON"")[widget.get_active()])

    def delete_event(self, widget, event, data=None):
        gtk.main_quit()
        return False

    def __init__(self):
        
        self.window = gtk.Window(gtk.WINDOW_TOPLEVEL)

        self.window.set_title(""Check Button"")

        self.window.connect(""delete_event"", self.delete_event)

        self.window.set_border_width(20)

        vbox = gtk.VBox(True, 2)

        self.window.add(vbox)

        button = gtk.CheckButton(""check button 1"")

        button.connect(""toggled"", self.callback, ""check button 1"")

        vbox.pack_start(button, True, True, 2)

        button.show()

        button = gtk.CheckButton(""check button 2"")

        button.connect(""toggled"", self.callback, ""check button 2"")
        
        vbox.pack_start(button, True, True, 2)

        button.show()

        button = gtk.Button(""Quit"")

        button.connect(""clicked"", lambda wid: gtk.main_quit())

        vbox.pack_start(button, True, True, 2)

        button.show()
        vbox.show()
        self.window.show()

def main():
    gtk.main()
    return 0

if __name__ == ""__main__"":
    CheckButton()
    main()"
15,Python,"
import re

from exchange.constants import (
    CURRENCIES,
    CURRENCY_NAMES,
    DEFAULT_CURRENCY,
    CURRENCY_EUR,
    CURRENCY_UAH,
    CURRENCY_USD,
    CURRENCY_SESSION_KEY)

def round_number(value, decimal_places=2, down=False):

    assert decimal_places > 0
    factor = 1.0 ** decimal_places
    sign = -1 if value < 0 else 1
    return int(value * factor + sign * (0 if down else 0.5)) / factor

def format_number(value):

    append_comma = lambda match_object: ""%s,"" % match_object.group(0)

    value = ""%.2f"" % float(value)
    value = re.sub(""(\d)(?=(\d{3})+\.)"", append_comma, value)

    return value

def format_price(price, round_price=False):
    price = float(price)
    return format_number(round_number(price) if round_price else price)

def format_printable_price(price, currency=DEFAULT_CURRENCY):
    return '%s %s' % (format_price(price), dict(CURRENCIES)[currency])

def get_currency_from_session(session):
    currency = session.get(CURRENCY_SESSION_KEY) or DEFAULT_CURRENCY
    return int(currency)

def get_price_factory(rates, src, dst):

    if src == dst:
        return lambda p: p

    name = lambda c: CURRENCY_NAMES[c]

    if src == CURRENCY_UAH:
        return lambda p: p / getattr(rates, name(dst))

    if dst == CURRENCY_UAH:
        return lambda p: p * getattr(rates, name(src))

    if src == CURRENCY_USD and dst == CURRENCY_EUR:
        return lambda p: p * rates.usd_eur

    if src == CURRENCY_EUR and dst == CURRENCY_USD:
        return lambda p: p / rates.usd_eur

    raise ValueError('Unknown currencies')"
16,Python,"
from __future__ import division, absolute_import, print_function, unicode_literals
from awlsim.common.compat import *

from awlsim.core.instructions.main import * 
from awlsim.core.operators import *

class AwlInsn_ASSERT_LT(AwlInsn): 

	__slots__ = ()

	def __init__(self, cpu, rawInsn):
		AwlInsn.__init__(self, cpu, AwlInsn.TYPE_ASSERT_LT, rawInsn)
		self.assertOpCount(2)

	def run(self):

		s = self.cpu.statusWord
		val0 = self.cpu.fetch(self.ops[0])
		val1 = self.cpu.fetch(self.ops[1])
		if not (val0 < val1):
			raise AwlSimError(""Assertion failed"")
		s.NER = 0"
17,Python,"from scapy.all import *
from scapy.layers import dhcp6
from time import time

def duid(ll_addr):
    return DUID_LLT(lladdr=ll_addr, timeval=time())

def ias(requested, iface, T1=None, T2=None):
    return map(lambda r: __build_ia(r, iface, T1, T2), requested)

def options(requested):
    return map(__build_option_by_code, requested)

def __build_ia(request, iface, T1=None, T2=None):
    ia = request.__class__(iaid=request.iaid, T1=(T1 == None and request.T1 or T1), T2=(T2 == None and request.T2 or T2))

    ia.ianaopts.append(DHCP6OptIAAddress(addr=str(iface.global_ip()), preflft=300, validlft=300))

    return ia

def __build_option_by_code(code):
    opt = __option_klass_by_code(code)()

    if isinstance(opt, DHCP6OptClientFQDN):
        opt.fqdn = 'testhost.local.'
    elif isinstance(opt, DHCP6OptDNSDomains):
        pass
    elif isinstance(opt, DHCP6OptDNSServers):
        opt.dnsservers.append('2001:500:88:200::10')
    elif isinstance(opt, DHCP6OptSNTPServers):
        opt.sntpservers.append('2001:500:88:200::10')

    return opt

def __option_klass_by_code(code):
    return getattr(dhcp6, dhcp6.dhcp6opts_by_code[code])"
18,Python,"from flask import Flask, Response, request
from twilio.util import TwilioCapability

app = Flask(__name__)

@app.route('/token', methods=['GET'])
def get_capability_token():
    
    account_sid = 'ACXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'
    auth_token = 'your_auth_token'

    capability = TwilioCapability(account_sid, auth_token)

    application_sid = 'APXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'
    capability.allow_client_outgoing(application_sid)
    capability.allow_client_incoming(request.form[""ClientName""])
    token = capability.generate()

    return Response(token, mimetype='application/jwt')

if __name__ == ""__main__"":
    app.run(debug=True)"
19,Python,"
COMPUTE_URL_BASE = 'https://www.googleapis.com/compute/v1/'

def GlobalComputeUrl(project, collection, name):
  return ''.join([COMPUTE_URL_BASE, 'projects/', project,
                  '/global/', collection, '/', name])

def ZonalComputeUrl(project, zone, collection, name):
  return ''.join([COMPUTE_URL_BASE, 'projects/', project,
                  '/zones/', zone, '/', collection, '/', name])

def GenerateConfig(context):
  
  base_name = context.properties['instanceName']

  items = []
  for key, value in context.properties['metadata'].iteritems():
    items.append({
        'key': key,
        'value': value
        })
  metadata = {'items': items}

  instance = {
      'zone': context.properties['zone'],
      'machineType': ZonalComputeUrl(
          context.env['project'], context.properties['zone'], 'machineTypes',
          'f1-micro'),
      'metadata': metadata,
      'serviceAccounts': [{
          'email': 'default',
          'scopes': context.properties['scopes']
      }],
      'disks': [{
          'deviceName': 'boot',
          'type': 'PERSISTENT',
          'autoDelete': True,
          'boot': True,
          'initializeParams': {
              'diskName': base_name + '-disk',
              'sourceImage': GlobalComputeUrl(
                  'debian-cloud', 'images',
                  ''.join(['backports-debian', '-7-wheezy-v20151104']))
              },
          }],
      'networkInterfaces': [{
          'accessConfigs': [{
              'name': 'external-nat',
              'type': 'ONE_TO_ONE_NAT'
              }],
          'network': GlobalComputeUrl(
              context.env['project'], 'networks', 'default')
          }]
      }

  return {
      'resources': [{
          'name': base_name,
          'type': 'compute.v1.instance',
          'properties': instance
          }]
      }"
20,Python,"
import sys
sys.path.append('/var/www/html/valumodel.com/scripts/dcf')
from calc_dcf import calc_dcf

def create_dcf(req, tax_rate, growth_rate_1_year_out, sga_of_sales, da_of_sales, capex_of_sales, nwc_of_sales, levered_beta, current_yield, exit_multiple, ticker):
	assumptions = {}
	try:
		assumptions['Tax Rate']               = float(tax_rate)/100.0
		assumptions['Growth Rate 1 year out'] = float(growth_rate_1_year_out)/100.0
		assumptions['SGA % of sales']         = float(sga_of_sales)/100.0
		assumptions['D&A % of sales']         = float(da_of_sales)/100.0
		assumptions['CAPEX % of sales']       = float(capex_of_sales)/100.0
		assumptions['NWC % of sales']         = float(nwc_of_sales)/100.0
		assumptions['Levered Beta']           = float(levered_beta)
		assumptions['Current Yield']          = float(current_yield)/100.0
		assumptions['Exit Multiple']          = float(exit_multiple)
	except ValueError:
		return '<!doctype html><html><body><h1>Invalid DCF Input.  Please try again.</h1></body></html>'
        ticker = ticker.split(' ')[0]
        if not ticker.isalnum():
            return '<!doctype html><html><body><h1>Invalid Ticker.  Please try again.</h1></body></html>'

	return calc_dcf(assumptions, ticker.upper())"
21,Python,"from datetime import datetime
import hashlib

from extractor import Ways
from date import way_date

class Helpers:
    
    @staticmethod
    def make_id(website, timestamp):
        
        m=hashlib.md5()
        m.update(''.join([website, timestamp]).encode())
        return m.hexdigest()

class WayDefault:
    
    @classmethod
    def set_parser(cls, ParserObj):
        
        cls.parser=ParserObj

    def __init__(self, snap_dict):
        
        self._raw=snap_dict
        self.timestamp=snap_dict['timestamp']
        self._data=self.parser.parse(self._raw['page'])
        self._data.update({
        'website':snap_dict['website'],
        'timestamp':way_date(self.timestamp),
            })
        self.id=Helpers.make_id(snap_dict['website'],self.timestamp)
        self.report=snap_dict['report']

    @property
    def extracted(self):
        
        return {k:v for k,v in self._data.items() if k != 'page'}

    @property
    def snapshot(self):
        
        return self._data['page']

    @property
    def data(self):
        
        return self._data

WayDefault.set_parser(Ways)"
22,Python,"
from __future__ import unicode_literals

import os, sys
import tempfile
from winsys._compat import unittest
import uuid

import win32file

from winsys.tests.test_fs import utils
from winsys import fs

class TestFS (unittest.TestCase):

  filenames = [""%d"" % i for i in range (5)]

  def setUp (self):
    utils.mktemp ()
    for filename in self.filenames:
      with open (os.path.join (utils.TEST_ROOT, filename), ""w""):
        pass

  def tearDown (self):
    utils.rmtemp ()

  def test_glob (self):
    import glob
    pattern = os.path.join (utils.TEST_ROOT, ""*"")
    self.assertEquals (list (fs.glob (pattern)), glob.glob (pattern))

  def test_listdir (self):
    import os
    fs_version = list (fs.listdir (utils.TEST_ROOT))
    os_version = os.listdir (utils.TEST_ROOT)
    self.assertEquals (fs_version, os_version, ""%s differs from %s"" % (fs_version, os_version))

if __name__ == ""__main__"":
  unittest.main ()
  if sys.stdout.isatty (): raw_input (""Press enter..."")"
23,Python,"
import os
import unittest
from pyquickhelper.loghelper import fLOG
from pyquickhelper.filehelper import explore_folder_iterfile
from pyquickhelper.ipythonhelper import upgrade_notebook, remove_execution_number

class TestConvertNotebooks(unittest.TestCase):
    
    def test_convert_notebooks(self):
        fLOG(
            __file__,
            self._testMethodName,
            OutputPrint=__name__ == ""__main__"")
        fold = os.path.abspath(os.path.dirname(__file__))
        fold2 = os.path.normpath(
            os.path.join(fold, "".."", "".."", ""_doc"", ""notebooks""))
        for nbf in explore_folder_iterfile(fold2, pattern="".*[.]ipynb""):
            t = upgrade_notebook(nbf)
            if t:
                fLOG(""modified"", nbf)
            
            remove_execution_number(nbf, nbf)

        fold2 = os.path.normpath(os.path.join(fold, "".."", "".."", ""_unittests""))
        for nbf in explore_folder_iterfile(fold2, pattern="".*[.]ipynb""):
            t = upgrade_notebook(nbf)
            if t:
                fLOG(""modified"", nbf)

if __name__ == ""__main__"":
    unittest.main()"
24,Python,"
import sys, shutil

try:
    from gi.repository import Gtk, Gdk, Vte, GLib, Pango, GConf, GdkPixbuf
    import json, os, getpass
    from pycm.pycm_globals import *
except ImportError as e:
    print ""Error during importing of necessaries modules.\nError is '%s'"" % e
    sys.exit()

python_path = ""/usr/lib/python2.7/dist-packages/""
module_path = python_path + 'pycm'
bin_exe = '/usr/bin/pycm.py'
launcher = '/usr/share/applications/pyconnection-manager.desktop'
uid = os.getuid()

def __init__():
    if uid > 0:
        print ""You need to be root to install pyConnection Manager""
        sys.exit()

    try:
        remove_old()
    except OSError, IOError:
        print ""ERROR removing old stuff""
        sys.exit()

    try:
        create_new()
    except OSError, IOError:
        print ""ERROR installing pyConnection Manager""
        sys.exit()

    ok = ""\n\tpyConnection Manager succesfully installed\n""
    print ok

def remove_old():
    if os.path.exists(module_path):
        shutil.rmtree(module_path)

    if os.path.exists(GLADE_DIR):
        shutil.rmtree(GLADE_DIR)

    if os.path.exists(IMAGE_DIR):
        shutil.rmtree(IMAGE_DIR)

    if os.path.exists(bin_exe):
        os.remove(bin_exe)

    if os.path.exists(launcher):
        os.remove(launcher)

def create_new():
    shutil.copytree('pycm', module_path)
    shutil.copytree('glade', GLADE_DIR)
    shutil.copytree('img', IMAGE_DIR)

    shutil.copyfile('pycm.py', '/usr/bin/pycm')
    shutil.copyfile('pyconnection-manager.desktop', launcher)

    dir_list = [module_path, GLADE_DIR, IMAGE_DIR]

    for i in dir_list:
        os.chmod(i, 655)

__init__()"
25,C,"
typedef struct vg_point {
	struct vg_node _inherit;
	float size;			
} VG_Point;

#define VGPOINT(p) ((VG_Point *)(p))

__BEGIN_DECLS
extern DECLSPEC VG_NodeOps vgPointOps;

static __inline__ VG_Point *
VG_PointNew(void *pNode, VG_Vector pos)
{
	VG_Point *vp;

	vp = (VG_Point *)AG_Malloc(sizeof(VG_Point));
	VG_NodeInit(vp, &vgPointOps);
	VG_Translate(vp, pos);
	VG_NodeAttach(pNode, vp);
	return (vp);
}

static __inline__ void
VG_PointSize(VG_Point *vp, float r)
{
	VG_Lock(VGNODE(vp)->vg);
	vp->size = r;
	VG_Unlock(VGNODE(vp)->vg);
}
__END_DECLS
"
26,C,"
#ifndef INCLUDED_ATSC_VITERBI_DECODER_H
#define INCLUDED_ATSC_VITERBI_DECODER_H

#include <atsc_api.h>
#include <gr_sync_block.h>
#include <atsci_viterbi_decoder.h>

class atsc_viterbi_decoder;
typedef boost::shared_ptr<atsc_viterbi_decoder> atsc_viterbi_decoder_sptr;

ATSC_API atsc_viterbi_decoder_sptr atsc_make_viterbi_decoder();

class ATSC_API atsc_viterbi_decoder : public gr_sync_block
{
  friend ATSC_API atsc_viterbi_decoder_sptr atsc_make_viterbi_decoder();

  atsci_viterbi_decoder	d_viterbi_decoder;

  atsc_viterbi_decoder();

public:
  int work (int noutput_items,
	    gr_vector_const_void_star &input_items,
	    gr_vector_void_star &output_items);

  void reset() {  }

protected:
  int	    last_start;

};

#endif "
